Time,Plasma/ CSF/ ER Nicotine,Sequestered Nicotine,Fraction of Activated nAChR,Fraction of Chaperoned nAChR
0.000422334340456843,0.656492087293139,0.000428176272806688,0.000630280166042993,0.00621213265297903
0.000445843810064622,0.692912350909408,0.00047710884746493,0.000666662733826144,0.00681770780227975
0.00048168784977824,0.748417759050621,0.000556795664339145,0.000722105477769627,0.00777592586650951
0.000517531889491859,0.803895409148468,0.000642616529009375,0.000777514285554638,0.00877315662752893
0.000553375929205477,0.859345646456352,0.000734568127043585,0.000832889475627097,0.00980607202431749
0.000589219968919095,0.914768791232307,0.000832647180956735,0.000888231297890189,0.0108715925834744
0.000625064008632713,0.970165140641248,0.000936850447400303,0.000943540060513493,0.0119668683792011
0.000679728463099692,1.05459714407508,0.00110755165603647,0.00102782654449612,0.0136886150588372
0.000734392917566671,1.13896835341857,0.00129247795703094,0.00111203790865036,0.0154649982828504
0.00078905737203365,1.22327956196906,0.00149161823252809,0.00119617497877388,0.0172885021034298
0.000843721826500629,1.30753147788304,0.00170496149129501,0.00128023850150416,0.0191524571475415
0.000898386280967607,1.39172473410427,0.00193249685431659,0.00136422918384001,0.0210509418562892
0.000953050735434586,1.47585989588712,0.00217421354394223,0.00144814765215636,0.0229787077142737
0.00100771518990157,1.55993746758528,0.00243010087409414,0.00153199444792894,0.0249311117474931
0.00109703586858325,1.69719584394173,0.00287868262280357,0.00166884555744721,0.0281638182556073
0.00127563612638291,1.97119839005855,0.00388883079884705,0.00194192222474425,0.0347345227981059
0.00138209443629789,2.13424056943365,0.00456261549450792,0.00210434209298019,0.0386888170941691
0.00148855274621286,2.29707379260532,0.00528983566617149,0.00226650089573984,0.0426534961350271
0.00159501105612784,2.45969940781907,0.00607041608877688,0.0024284002435789,0.0466178951605263
0.00170146936604281,2.62211852231531,0.00690428194960709,0.00259004141465221,0.0505737439073347
0.00188841945564009,2.90684363579802,0.00849734665351417,0.00287327613895057,0.0574814296708161
0.00200945389232614,3.09084296463056,0.00961604137466614,0.00305622668704939,0.0619171594212279
0.0021304883290122,3.27457907855689,0.0108032390803182,0.00323884845044297,0.0663187571833661
0.00225152276569826,3.45805267955417,0.0120588316795327,0.00342114247832271,0.0706832510248087
0.00237255720238432,3.64126438063475,0.0133827113363914,0.00360310973335753,0.0750085490751886
0.00249359163907037,3.82421473605292,0.0147747704281074,0.00378475108568049,0.0792931390926956
0.00261462607575643,4.0069042479213,0.0162349015387937,0.00396606735434949,0.0835360224997312
0.00273566051244249,4.18933337098278,0.017762997454714,0.00414705932063821,0.0877366668339405
0.00294565437612781,4.50523000307493,0.0205751696751137,0.00446031179135346,0.0949240399396957
0.00315564823981313,4.82034612253964,0.0235910496163349,0.00477259395348923,0.101984119876784
0.00336564210349845,5.13468365165339,0.0268100809005756,0.00508390936150475,0.108918519820223
0.00357563596718377,5.4482444451425,0.0302317085002359,0.00539426148452218,0.115729478203264
0.00389633575621054,5.92561545284891,0.0358468747471833,0.00586637589084957,0.125898867581409
0.0042170355452373,6.40118547294847,0.0419312986668354,0.0063362636088623,0.135796430052784
0.00453773533426407,6.87496082676432,0.0484830209038559,0.00680393655482242,0.14543233433338
0.00485843512329083,7.34694783379399,0.0555000891227735,0.00726940658819333,0.154816506157327
0.0051791349123176,7.81715280535519,0.0629805580217819,0.00773268549490113,0.163958691262651
0.00549983470134437,8.28558206301629,0.0709224893084141,0.0081937850168311,0.172868271966822
0.00582053449037113,8.75224195234519,0.0793239516857593,0.00865271686195031,0.181554130164405
0.0063574417398655,9.52956852266167,0.0944128571764181,0.00941622824769033,0.19561768761511
0.00689434898935988,10.3019836850382,0.110775387553268,0.0101737512323004,0.209113841327614
0.00743125623885425,11.0695175071341,0.128402613029578,0.0109253400010664,0.222076410199318
0.00796816348834862,11.8322001458496,0.147285659474153,0.0116710484123417,0.234536245871281
0.00850507073784299,12.590061726271,0.167415708431763,0.0124109298528866,0.246522442080699
0.00904197798733736,13.3431324458538,0.188783997089432,0.0131450373916974,0.258061293416964
0.00957888523683173,14.0914424113897,0.211381818191822,0.0138734235642006,0.269177928633686
0.0101157924863261,14.835021785936,0.235200519997637,0.0145961406005446,0.279894842233086
0.0106526997358205,15.5739006705286,0.260231506234424,0.0153132402389965,0.29023307873258
0.0111896069853148,16.308109147842,0.286466236023479,0.01602477384028,0.30021179829691
0.0117265142348092,17.0376770840535,0.313896223650415,0.0167307921169306,0.309850266779413
0.0122634214843036,17.7626344340688,0.342513038399173,0.0174313455626424,0.319164808894604
0.012800328733798,18.4830108044633,0.372308304285212,0.0181264838485211,0.328173189303597
0.0133372359832923,19.1988360020169,0.403273699934968,0.0188162566130764,0.33688913053476
0.0138741432327867,19.9101397969758,0.435400958611102,0.0195007130102367,0.34532467928223
0.0144110504822811,20.6169514644045,0.468681867880293,0.0201799013364344,0.353494805704558
0.0149479577317754,21.3193002227919,0.503108269104464,0.0208538695235191,0.361413036105653
0.0154848649812698,22.01721540558,0.538672057258086,0.02152266527582,0.369089744036054
0.0160217722307642,22.7107261699921,0.575365180921642,0.0221863357711926,0.376535062039305
0.0165586794802586,23.3998615831662,0.613179642171205,0.0228449277910525,0.383758023910038
0.0170955867297529,24.0846502401845,0.652107496056695,0.0234984872552159,0.390770404702657
0.0176324939792473,24.7651207118701,0.692140850072137,0.0241470598094479,0.397582262224168
0.0181694012287417,25.4413016703971,0.733271864055684,0.0247906908673253,0.404200684225066
0.018706308478236,26.1132215845809,0.775492750207835,0.0254294253211813,0.410632834548528
0.0192432157277304,26.7809086228527,0.818795772782535,0.0260633074676777,0.416886934961882
0.0197801229772248,27.4443907975943,0.863173247574095,0.0266923811453741,0.422970841117679
0.0203170302267191,28.103696050225,0.908617541566838,0.0273166898307765,0.428891204694378
0.0208539374762135,28.7588521933353,0.955121072779814,0.027936276587113,0.434654057626442
0.0213908447257079,29.4098868447684,1.00267631006787,0.0285511839989908,0.440265478584446
0.022310823765569,30.5159182155713,1.08658463375574,0.0295940573796642,0.449545424394196
0.0232308028054301,31.610066344142,1.17352154374487,0.0306235246922953,0.458425831731057
0.0241507818452912,32.69246697953,1.26345017602597,0.0316397914572715,0.466930912342854
0.0250707608851524,33.763254271313,1.35633409011595,0.0326430593452621,0.475085035494038
0.0259907399250135,34.8225612856213,1.45213726468117,0.0336335268562337,0.482907730030635
0.0269107189648746,35.8705193384798,1.55082409309563,0.0346113885669392,0.490420517286632
0.0275777508853435,36.6233193530709,1.62416045425911,0.0353126140880451,0.495682768153268
0.0282447828058125,37.3702710689852,1.6989809578216,0.0360073855809745,0.500795427232285
0.0289118147262814,38.1114230658783,1.77527243383435,0.0366957738063921,0.505766394542796
